sum_iterative_nif (Run Time Measurements),sum_iterative_nif (Memory Usage Measurements),sum_port (Run Time Measurements),sum_port (Memory Usage Measurements),sum_recursive2 (Run Time Measurements),sum_recursive2 (Memory Usage Measurements),sum_recursive (Run Time Measurements),sum_recursive (Memory Usage Measurements),sum_iterative (Run Time Measurements),sum_iterative (Memory Usage Measurements)
7096560,16,5609170,416,8160516,0,17501666,,30098731,56
7202288,16,5755926,416,8522965,0,16626915,,28375720,56
7191839,16,5622235,416,7167814,0,16757570,,23332732,56
7198271,16,5691995,416,7407053,0,18019437,,28834851,56
7217467,16,5539599,416,7936565,0,16035276,,30553315,56
7205133,16,5502380,416,8054917,0,15208033,,27040947,56
7292167,16,5684201,416,8067432,0,17882610,,21423441,56
7203881,16,5554898,416,7967203,0,16499576,,21681825,56
7156803,16,5736458,416,7914474,0,14048829,,21317071,56
7083405,16,5498793,416,8138074,0,17147050,,22667885,56
7099917,16,5715319,416,8042464,0,17165806,,21593820,56
5789498,16,5329686,416,8067802,0,18772579,,25696255,56
4970022,16,5573092,416,7946905,0,16702236,,21548496,56
4957568,16,5541584,416,7995497,0,18095289,,20762671,56
4961916,16,5444652,416,7843551,0,16515245,,21025244,56
4970884,16,5363430,416,8124548,0,16355045,,20959481,56
4956757,16,5506808,416,11122671,0,18131206,,22495081,56
4961736,16,5459800,416,7898134,0,18737253,,21733663,56
4962106,16,5554829,416,7833082,0,19481729,,21455151,56
4962057,16,5674303,416,7877434,0,15409341,,28902108,56
4955955,16,5567853,416,8048695,0,17074784,,29221948,56
4962057,16,5592258,416,8074955,0,16226404,,30750844,56
4957518,16,5696645,416,8008300,0,13140165,,34203962,56
4955986,16,5549849,416,7994344,0,17456371,,40727577,56
4964120,16,5826599,416,8022707,0,15177757,,29525116,56
4960523,16,5615322,416,7974957,0,17827556,,25100057,56
4956747,16,5647812,416,8049087,0,14718576,,32379019,56
5118681,16,5686876,416,8265593,0,17515210,,27969619,56
4984509,16,5672319,416,8114028,0,17222903,,27430176,56
4963289,16,5684983,416,7996828,0,16336901,,28271705,56
4961956,16,6303302,416,8083181,0,16057035,,27577994,56
4974540,16,5419534,416,7995997,0,16804638,,26077029,56
4958270,16,5617617,416,8129227,0,16920485,,33132121,56
5110185,16,5506227,416,8006427,0,16750387,,27811151,56
5035464,16,5539169,416,8089402,0,15407958,,26395426,56
5306913,16,5833411,416,7979045,0,15934426,,28626641,56
5331980,16,5393816,416,8081778,0,15820242,,27773972,56
5325108,16,5465331,416,8071609,0,17424951,,27151905,56
5213107,16,5681616,416,8106554,0,15861659,,25500567,56
5232263,16,5878396,416,8046231,0,16584796,,29550243,56
5104173,16,5760454,416,8131672,0,12683358,,30466562,56
5001240,16,5417340,416,7951804,0,15548713,,29291658,56
5026227,16,5679021,416,8038617,0,15087959,,26033768,56
5142395,16,5610953,416,7967664,0,17398782,,27414788,56
5302365,16,5708076,416,8033989,0,16384911,,24695768,56
5031928,16,5571069,416,7946704,0,16172262,,25047699,56
4992523,16,5585235,416,8032545,0,17644783,,23329325,56
5087412,16,5923340,416,7988392,0,14570959,,24646706,56
5011870,16,5654876,416,7998913,0,16594544,,25012162,56
5004677,16,6099730,416,7983544,0,18194104,,28089473,56
5153495,16,5730368,416,7951213,0,16253294,,27392476,56
5029062,16,5561371,416,7995597,0,14847327,,26956869,56
4980471,16,5545601,416,7967754,0,15238561,,32069007,56
5129901,16,5867494,416,7987572,0,17952972,,28706480,56
5153986,16,6648639,416,8025081,0,12922157,,30477162,56
5098944,16,5631792,416,7990326,0,13416122,,27022212,56
5050352,16,5659986,416,7969598,0,17433017,,26464536,56
5189153,16,5828261,416,8025382,0,17079594,,27135804,56
5237463,16,6011916,416,7954710,0,17981936,,26038256,56
4967146,16,6141218,416,7996087,0,13362873,,27564058,56
5090678,16,6313451,416,7953637,0,18091261,,21897620,56
5017912,16,5741589,416,7997489,0,15487949,,20709342,56
4953280,16,5729466,416,7974216,0,14098663,,20827463,56
5069188,16,5617276,416,7989795,0,17291601,,21551110,56
5093022,16,5534901,416,7959208,0,16766957,,22286839,56
5003414,16,5852497,416,7993352,0,18072426,,23473987,56
5011760,16,5585015,416,7956824,0,18416271,,22723169,56
5069208,16,5666497,416,8059426,0,16575869,,28092589,56
4982735,16,5695332,416,7952034,0,15747054,,42539516,56
4977134,16,5557894,416,8011416,0,15493850,,43398045,56
5107750,16,5688690,416,7954830,0,16553667,,32094616,56
5048318,16,5987431,416,7976229,0,16582211,,39434682,56
4973708,16,5731730,416,7972423,0,17216982,,32331199,56
5130984,16,6145897,416,8099080,0,17251797,,32680234,56
5049370,16,5882192,416,7984315,0,19156338,,28173330,56
5039041,16,5609691,416,7979796,0,14831718,,29658486,56
5075940,16,5644026,416,7976050,0,17907557,,26814643,56
5112819,16,5584494,416,7960720,0,18188905,,31885523,56
5041636,16,5693408,416,8015864,0,18605836,,31640854,56
5049671,16,5723494,416,7961763,0,17425182,,28436945,56
5098032,16,5459460,416,8045820,0,16504255,,31088839,56
5006500,16,5568624,416,7956072,0,16117569,,30351096,56
4954623,16,5631071,416,8086646,0,17428298,,30172280,56
5096509,16,5565308,416,8022277,0,17917054,,30407531,56
4957408,16,5766876,416,8127904,0,16243185,,29381577,56
4955615,16,5900968,416,7954048,0,12756635,,30071651,56
5051194,16,5758761,416,8104371,0,16816952,,30686034,56
4993306,16,5550951,416,8062341,0,16674654,,30307664,56
4981423,16,5604542,416,7984936,0,15677884,,34885179,56
5012331,16,5551051,416,7943238,0,16429284,,35586495,56
5050773,16,6003219,416,7984255,0,17655493,,29431610,56
4967476,16,5778448,416,8199859,0,18688752,,33893469,56
4959632,16,5410307,416,7982271,0,16685995,,36603822,56
5092271,16,5524060,416,7978515,0,17669470,,33053665,56
4996401,16,5850012,416,7984946,0,12817059,,32193711,56
4988346,16,5547255,416,7945021,0,16307235,,31280689,56
5064559,16,5624148,416,7968395,0,16677460,,28492219,56
5005579,16,5689030,416,7957826,0,17568982,,32257010,56
5035044,16,5478314,416,8166627,0,16251921,,33814311,56
5056354,16,5644436,416,8083721,0,16507871,,30209009,56
5026247,16,5934802,416,7967464,0,16638416,,44746905,56
4963920,16,5519071,416,7966903,0,17732187,,38026722,56
4971023,16,5758651,416,7981059,0,17961728,,29662664,56
5103161,16,5660567,416,7950361,0,14842347,,27914505,56
5041496,16,5649626,416,8268728,0,18170650,,28715598,56
4990159,16,5586779,416,8006316,0,17622562,,29438083,56
5089516,16,5472063,416,7947506,0,18953529,,22662795,56
5019955,16,6017386,416,8032857,0,16289923,,21981818,56
4956937,16,5445503,416,7962905,0,16560310,,23532737,56
5047126,16,5755265,416,8024310,0,13662835,,31079752,56
5076432,16,5571209,416,7979226,0,19448556,,32515774,56
4971063,16,5909183,416,7995516,0,13530617,,31816714,56
5014424,16,5422140,416,7959268,0,17308292,,30055421,56
5098182,16,5401050,416,7984896,0,14076852,,30039361,56
5044171,16,5535322,416,7954560,0,17292343,,30782604,56
4956637,16,5572592,416,7979266,0,18002034,,30559916,56
5078615,16,5441747,416,7957074,0,17553382,,30709928,56
5045804,16,5640098,416,8232981,0,13492606,,33954203,56
4968529,16,5529751,416,7968435,0,18003557,,31052801,56
5040745,16,5619960,416,7992310,0,25171982,,24919578,56
4999056,16,5844612,416,7967314,0,16567433,,24715845,56
4961757,16,5585416,416,7980077,0,18026440,,24386298,56
5006279,16,5616053,416,7964598,0,16756498,,24530890,56
5002763,16,5868156,416,8005254,0,16247593,,24644932,56
4968769,16,5543086,416,8066619,0,17886868,,24694225,56
4956516,16,6123004,416,8020613,0,16750687,,24988958,56
5115284,16,5322192,416,8307481,0,17080155,,25655889,56
4966104,16,5714137,416,7764002,0,17449117,,24680730,56
4957208,16,5479547,416,7366346,0,13871888,,24848595,56
5065681,16,5672429,416,8145528,0,16933680,,24484792,56
5095727,16,5580116,416,7782857,0,17497117,,24684748,56
4957167,16,5800288,416,8259741,0,17362815,,24577547,56
4987164,16,5956421,416,8222401,0,21178091,,24857602,56
5076872,16,5647131,416,8146479,0,17856370,,24724312,56
4974651,16,5570598,416,8286672,0,18043892,,25822201,56
4956075,16,5772166,416,8180092,0,18165300,,28150057,56
5109433,16,5544689,416,7890389,0,14968083,,25120204,56
5062476,16,5526596,416,7338033,0,14500467,,24807558,56
4972346,16,5971720,416,7989865,0,23208689,,24523565,56
5072303,16,5443980,416,7559879,0,17278567,,25112359,56
