sum_iterative_nif (Run Time Measurements),sum_iterative_nif (Memory Usage Measurements),sum_recursive2 (Run Time Measurements),sum_recursive2 (Memory Usage Measurements),sum_port (Run Time Measurements),sum_port (Memory Usage Measurements),sum_recursive (Run Time Measurements),sum_recursive (Memory Usage Measurements),sum_iterative (Run Time Measurements),sum_iterative (Memory Usage Measurements)
3053871,16,4494429,0,9985632,416,10551907,,13195926,56
4070091,16,4375847,0,4373541,416,9032539,,13620966,56
4479621,16,4350238,0,6048090,416,9901564,,12822895,56
3195407,16,4355257,0,4533843,416,13142166,,13717557,56
2876808,16,4409470,0,4522742,416,9149379,,13661963,56
2844988,16,4368913,0,4465164,416,10263815,,12783291,56
2825873,16,4372540,0,4511481,416,8182723,,12803279,56
2843295,16,4354647,0,3762082,416,8053109,,12842713,56
2836131,16,4412364,0,5236814,416,8372860,,12649179,56
2832766,16,4361659,0,4482426,416,8482596,,12882878,56
2870787,16,4362090,0,4495231,416,9561956,,12784593,56
2836292,16,4361479,0,4483579,416,11422242,,12758455,56
2836453,16,4417474,0,4180158,416,13397356,,12727356,56
2828658,16,4351761,0,9222197,416,14653056,,13042238,56
2830261,16,4348395,0,10308919,416,11642296,,12856519,56
2840810,16,4350658,0,4616899,416,10387928,,12766269,56
2866699,16,4498867,0,9350578,416,8069530,,12689785,56
2829479,16,4359325,0,9458049,416,11701207,,12760638,56
2846992,16,4380625,0,10438133,416,8063038,,12829779,56
2839848,16,4418647,0,10419768,416,8310042,,14161552,56
2829168,16,4366278,0,10744658,416,8123501,,13084698,56
2835089,16,4366048,0,11025677,416,8957388,,12692380,56
2861619,16,4372750,0,10397065,416,9897185,,12772701,56
2838036,16,4404079,0,4652666,416,13192270,,12745570,56
2840981,16,4452941,0,8764255,416,12723969,,12762803,56
2891155,16,4437913,0,10681931,416,9892657,,12770236,56
2883711,16,4420220,0,10618121,416,12389511,,12644881,56
2877289,16,4370686,0,10322775,416,8309571,,12809520,56
2898809,16,4355629,0,10424347,416,8063418,,12859635,56
2859646,16,4368433,0,10414888,416,8308028,,12990200,56
2830501,16,4375125,0,5812427,416,8062746,,12837292,56
2834949,16,4374774,0,8111028,416,8944975,,12880143,56
4227487,16,4349367,0,8743817,416,9893097,,12761641,56
2859917,16,4351249,0,10231905,416,12470624,,12757963,56
2836583,16,4364385,0,10439045,416,12857020,,12871988,56
2832305,16,4371608,0,10564910,416,8494268,,12907705,56
2837815,16,4352072,0,10580170,416,13727646,,12873461,56
2836783,16,4370576,0,10844126,416,14338144,,12787549,56
2833276,16,4365156,0,10657314,416,12729871,,12648498,56
2849035,16,4358965,0,10565321,416,11923054,,13047628,56
2840580,16,4355498,0,10386506,416,11821723,,12937281,56
2833767,16,4357702,0,10707369,416,11114082,,12994839,56
2831593,16,4363743,0,10540134,416,8992104,,12828005,56
2848695,16,4351570,0,4931852,416,11506852,,12741142,56
2841141,16,4352492,0,6182512,416,13128711,,12886175,56
2856931,16,4356359,0,4948823,416,11039162,,12828165,56
2829599,16,4454805,0,4529385,416,10033482,,12764286,56
2830561,16,4545365,0,4761301,416,8286517,,12753525,56
2839678,16,4418836,0,4668386,416,8045104,,12752083,56
2829169,16,4414900,0,3955436,416,8284434,,12748485,56
2854557,16,4411103,0,5045766,416,8046386,,12794763,
2848616,16,4366319,0,4715855,416,8539143,,12904910,
