Name,Input,Iterations per Second,Standard Deviation Iterations Per Second,Run Time Average,Run Time Median,Run Time Minimum,Run Time Maximum,Run Time Standard Deviation,Run Time Standard Deviation Ratio,Run Time Sample Size,Memory Usage Average,Memory Usage Median,Memory Usage Minimum,Memory Usage Maximum,Memory Usage Standard Deviation,Memory Usage Standard Deviation Ratio,Memory Usage Sample Size
sum_iterative_nif,__no_input,348.08840589212184,30.900193581150837,2872833.4040229884,2838220.5,2825872,10637998,255024.60526714136,0.08877110831070685,1740,16.0,16.0,16,16,0.0,0.0,693
sum_recursive2,__no_input,225.97290521594047,6.845092479330618,4425309.304424779,4368673.0,4339578,5264346,134049.9269568759,0.03029165143842986,1130,0.0,0.0,0,0,0.0,0.0,451
sum_port,__no_input,138.69544943160432,49.540516086778645,7210041.887445888,7761731.0,3527952,11108092,2575349.0657060356,0.35718919611136085,693,416.0,416.0,416,416,0.0,0.0,327
sum_recursive,__no_input,94.67982645624058,24.68832242411971,10561912.05063291,10379923.0,8022021,53999913,2754080.778144832,0.2607558901212207,474,0.0,0.0,0,0,0.0,0.0,36
sum_iterative,__no_input,75.41404474970678,5.834205162848641,13260129.5066313,12889681.0,12630364,21405921,1025834.3294593111,0.07736231602762993,377,56.0,56.0,56,56,0.0,0.0,153
